epoch,total,train,val
1,80,1.164583692094498,0.9025251009949932
2,80,0.9339202831579705,0.8220430839530848
3,80,0.8694121942083995,0.7889589118874736
4,80,0.829993291935509,0.7462182238749746
5,80,0.7958447008604933,0.7279089539898215
6,80,0.7730504183170873,0.7258024873832861
7,80,0.7571461305747772,0.7209375802927686
8,80,0.7462287370989258,0.6973024946206284
9,80,0.7397947891871157,0.684520459121645
10,80,0.7302262298085671,0.7080919266229978
11,80,0.725378543018851,0.6724391157169722
12,80,0.7235732013678514,0.6840570437877128
13,80,0.7205819605658442,0.6801128260256654
14,80,0.7189952304036228,0.674393998277891
15,80,0.7157763613167536,0.6782703984235586
16,80,0.711147054563222,0.673101332159368
